호선,역명,상세주소 ,시,구,동,X좌표,Y좌표
9,구반포,서울특별시 서초구 신반포로 지하17 반포동,서울특별시,서초구,반포동,37.501364,126.987332
9,신반포,서울특별시 서초구 신반포로 지하105 반포동,서울특별시,서초구,반포동,37.503415,126.995925
9,고속터미널,서울특별시 서초구 신반포로 지하188 반포동,서울특별시,서초구,반포동,37.50481,127.004943
9,사평,서울특별시 서초구 사평대로 지하285 반포동,서울특별시,서초구,반포동,37.504206,127.015259
9,신논현,서울특별시 강남구 봉은사로 지하102 역삼동,서울특별시,강남구,역삼동,37.504598,127.02506
9,노들,서울특별시 동작구 노량진로 지하238 본동,서울특별시,동작구,본동,37.512887,126.953222
9,김포공항,서울특별시 강서구 하늘길 지하77  방화동,서울특별시,강서구,방화동,37.562434,126.801058
9,양천향교,서울특별시강서구 양천로 지하341 가양동,서울특별시,강서구,가양동,37.568381,126.841333
9,염창,서울특별시 강서구 공항대로 지하 631 염창동,서울특별시,강서구,염창동,37.546936,126.874916
9,국회의사당,서울특별시 영등포구 국회대로 지하 758 여의도동,서울특별시,영등포구,여의도동,37.528105,126.917874
B,수원,경기도 수원시 매산동,경기도,수원시,매산동,37.265974,126.999874
B,서울숲,서울특별시 성동구 성수동1가 656-436 ,서울특별시,성동구,성수동1가,37.543617,127.044707
B,압구정로데오,서울특별시 강남구 압구정동 495,서울특별시,강남구,압구정동,37.527381,127.040534
B,선정릉,서울특별시 강남구 삼성동 111-114,서울특별시,강남구,삼성동,37.51098,127.043593
B,가천대,경기도 성남시 수정구 태평동 7131 ,경기도,성남시 수정구,태평동,37.448605,127.126697
B,야탑,경기도 성남시 분당구 야탑동 488-1,경기도,성남시 분당구,야탑동,37.411185,127.128715
B,수내,경기도 성남시 분당구 수내동 13-4,경기도,성남시 분당구,수내동,37.378455,127.114322
B,정자,경기도 성남시 분당구 정자동 95-1?,경기도,성남시 분당구,정자동,37.36706,127.108105
B,오리,경기도 성남시 분당구 구미동 197-1?,경기도,성남시 분당구,구미동,37.339824,127.108942
B,이매,경기도 성남시 분당구 이매동 129-1?,경기도,성남시 분당구,이매동,37.396104,127.12827
B,죽전,경기도 용인시 수지구 죽전동 1286,경기도,용인시 수지구,죽전동,37.324753,127.107395
B,구성,경기도 용인시 기흥구 마북동 460-3,경기도,용인시 기흥구,마북동,37.298969,127.105664
B,기흥,경기도 용인시 기흥구 구갈동 227-25,경기도,용인시 기흥구,구갈동,37.275619,127.115936
B,상갈,경기도 용인시 기흥구 상갈동 463-4?,경기도,용인시 기흥구,상갈동,37.26181,127.108847
B,영통,경기도 수원시 영통구 영통동 1012-1,경기도,수원시 영통구,영통동,37.251568,127.071394
B,망포,경기도 수원시 영통구 영통동 1069?,경기도,수원시 영통구,영통동,37.245795,127.057353
B,수원시청,경기도 수원시 권선구 권선동 1122?,경기도,수원시 권선구,권선동,37.261911,127.030736
